defaults,distracted,permuted_pairs,permuted_questions,random_permuted_pairs,randoms,only_rhs,random_finals
green => Q Z I Q Z I I I I","
white =>

Question 5:
a => ^
b => ^
c => ^
d => ^","................

I know the answer is the rectangle, but I need to know some basic logic behind this,","~~
triangle => ~~

Question 2:
square => Q Q Z I I
rectangle => Q","
Question 2:
question mark =>????????????????","
Question 2:
triangle => Q Z I
triangle => Q Q Z Z I I
triangle => Q Q","
question =>

Question 2:
circle => Q Q Z Z I
square => Q Z I I
","
horse => E K % C C % K

Question 3:

a.
b.
c","
chair => Q Q Z
table => Q Z Q

Question 3:
dog => F S S
","~~~ E K

Question 3:
dog => Q D I
cat => Q C D
horse => Q","
king-queen => E % % K % E
man-woman => % K % E % K E","Ⱦ K Q

Question 3:
A, B, C, D, E, F, G,","
lizard => ^
snake => ^

Question 4:
p => P
n => N
","
?

Question 4:

Question 5:

Question 6:

Question 7:

","
bear => } D Q

Question 4:
A => A / B
B => B / C
","
mouse => %

Question 4:
moon => - Z E
sun => - Z E
air","
penguin =>

Question 4:
pencil => } ^ {
pen => ^
ink =>","~~~~~
blue => C C C
violet => C C C C
brown => C C C

","]{

Question 5:
car => ^ r
truck => ^ r ^
bus => ^ r ^","
yellow => 
green =>

Question 5:
the => S T
the => S T S
","
yellow => C C C C

Question 5:
A circle with a black line through it and a red","ƒ c c c
purple => C C ƒ

Question 5:
a => Z
","
Question 2:

A set of four lines, each of which is an edge of a square, is shown","
Question 2:
1 => 1 * 2
2 => 2 + 1
3 => 3 - 1
4","~~~

Question 2 is very close to the first, but instead of a square, you are given the word """,")/
triangle => ]} \ {
Question 2:
a square => } ^ {
a circle => }","]^

Question 2:

Question 3:

Question 4:

Question 5:

Question","
brown => K C E
blue => E C K

Question 3:
moon => * %
","ʕ º º º
yellow => Y L W

Question 3:
a => T
","
blue => E K C
orange => E E C

Question 3:

(a) The drawing","ϰ K E

Question 3:
flying => } * {
driving => } {
walking","]^ K E

Question 3:
T H E
H E T T
T H E H
H","######

Question 4:
boy => B C
girl => C B

A:

This is","
pig => C C C

Question 4:
red => R E
blue => B E
green","
cat => C

Question 4:
lady => B B
doctor => B D
lawyer =>","~~~

Question 4:
red => R R R
blue => R R R
green => R R R","
poodle => c c c

Question 4:
spoon => C
knife => ^ C","
man => Z I Q Q Z I
woman => I I

Question 5:
tree => U L","
wife => Q I Z I
wife => Q Q I I

Question 5:
left => ^
","Ｆ Q I Z I

Question 5:
happy => H H
sad => H S H
","
woman => I I I

Question 5:
red => M M M M
green => M M M","
woman => I Z I

Question 5:
woman => 
men => D W W D W
","
Question 2:
ball => B % A % L
bottle => A L % B
chair =>",".........
Question 2:
chair => C % K % E
table => C K E
car => C","
question 2:
mouse => % C % E % K
book => E % C K % K
z","
question 2:
ball => Q % K % E 
car => 
question 3:
sax","...............
Question 2:
A=> B => C
B => C => A
C => A => B
","
coffee => Q I

Question 3:
house => C C C C
key => C C C","
piano => 
zebra => 
zebra => 
zebra => 
zebra =>","
zebra => Q Z I

A:

First, the zebra:

 The zebra is a quadrup","
(B B B B B B B B B B B B B B B B B B B B B B","
pencil => C

Question 3:
dish => J J Y Y Z Z I J J Y","
car => C C C C C C C

Question 4:
cat => C C Q Q
du","
cow => 
cow => 
cow => 
cow => 
cow =>","
dog => c c c c c

Question 4:
bicycle => B B
horse => B","
car => 
pencil => 
dog =>

Question 4:
1 2 3 4 5 6","
cat =>

Question 4:
a => T T T T T T T
b => T T T","}$\ ^ * {

Question 5:
dog => D Q
cat => D Q
rabbit => D Q","}}} } } * ^

Question 5:
lizard => l l l l l l l
rabbit =>","
pillow => ^
red => } * {

Question 5:
computer => q q q
","
car => c c

Question 5:

Question 6:

Question 7:

Question 8","
* * * *

Question 5:
red => -
yellow => [
green => ]
*","
Question 2:
a man => A
woman => W
boy => B
girl => G
Question 3","ƒ E K C

Question 2:
moon => C K E
snake => K C E","
dog => K C %

Question 2:

Answer:

Question 3:

Answer:","
father => 
house => 
car => 
table => 
bird => 
dog => ",".........

Question 2:
pencil =>..........

Question 3:
car =>.........","..............

Question 3:
apple => b a b b b b b b
mouse => b b","
chair => %

Question 3:
dog => C C C
cat => % C C C

","...........

Question 3:
ball => D C C
balloon => D C D
balloon =>","
tiger => 
lion => c

Question 3:
fighter => E T E
bomb","々 c c c

Question 3:
dog => C K E
horse => X K E
c","ia Q Z Z I

Question 4:
I am very happy. => I A E I A I A","
lamp => Q Z I

Question 4:
dog => 
cat => 
wolf => ","
plane => Q Q Z Z I

Question 4:
baby => B B B B B B B","
car => 
piano => 

Question 4:
dog => O
rabbit => O
horse =>","
bookmark => Q Z Z Z 
bookcase => Q Z Z Z 
bird => Q Z Z","
sun => >

Question 5:
A => A A A A A
B => B B B B","]^ {

Question 5:

I am looking for a friend. I am searching for a friend. I","
piano => ^
egg => ^ ^

Question 5:
courage => C
peace => C","
potato => } ^ {

Question 5:
1 => 1 A
2 => 2 A
3","]^ {

Question 5:
car => B B
dog => B B B
tiger => B B","
Question 2 (incomplete):

A:

Answer to Question 1:

 Banana: EK","
dirt => % E % K

Question 2:
car => K C K
pig => C","
Question 2: 
cat => 
coffee => 
Question 3:

Question 4:
","
plug => C

Question 2:
banana => F K B
fireplace => F % B %","
mug =>?

Question 2:
? =>?

Question 3:
? =>?
","
clock => 
pencil => 
computer => 
dog => 
zebra => 
dog","
pen => 
paper => 
key => 
mouse => 
cow => 
flower =>","ᐅ E

Question 3:
dog => K K K
frog => E K
pig","
pencil => C C

Question 3:
pencil => C C
trilobite => C","
pen => 
guitar => 
keyboard => 
piano => 
monkey => ","
man => #

Question 4:
cat => } ^ {
dog => ^
tiger => }","]^ *

Question 4:
flower => O K L
egg => O % K % L

Question","]^ ^ {

Question 4:
horse => ^ ^ ^
dog => * ^ ^ ^
crick","
snowflake => }! {

Question 4:

I am not sure if it is possible","
cat => } *

Question 4:
tree => } }

Question 5:
fence =>","
light => 

Question 5:
skeleton => S K P
dog => D S P D P
","
chair =>

Question 5:
dog => D #
fox => D D #
cow => D","
car =>

Question 5:
elephant => R E R R R R
tiger => R R","
beef => I Q I

Question 5:
baby => b
beard => b
p","
dog => Z I

Question 5:
car => Z I I I
truck => Z Z Z","~~~~ {

Question 2:
zebra => } ^ {

lightbulb => } * {
","
question 2:
tree => } * {
bird => } ^ {
penguin => } * {","
^
Question 2:
^
^
^
^
Question 3:
^
^
^","
crocodile => } - {

Question 2:

Question 3:

Question 4:","~~

Question 2:
^ {
bullet => ^
zebra => } * {
book => ","
wife => 
horse => Q Z I Z Z I

Question 3:
lightbulb => I","
husband => 
mother => 
father => 
son => 
daughter => 
brother =>","~~~~~

Question 3:
cat =>
cat => I
cat => ~~~

Question 4:","
frog => * * * * *

Question 3:
pencil => * * * * *
","
dog => Z I Q Q I

Question 3:
circle => } + {
cross => +
","ϵ K ϵ C

Question 4:
cat => ϵ C I
cow =>","ƒ C Q Q C Q Q

Question 4:

Question 1:

Question 2:
","
stove => F T V

Question 4:
book => {

Question 5:

Question","
car => 
dog => D C D C

Question 4:
brick => = %
orange","
pencil => C E K

Question 4:

Q Q Z Z I A
Q Q Z","
airplane => a a

Question 5:
moon => C C
star => C C C
","
plug => 
plug => 
plug => 
plug => 
plug => 
plug => ","
plug => 

Question 5:
rocket => C C C
car => C
bus => C
","
candle => C

Question 5:
car => E T
bicycle => E Q Z","
wrench => C C C C C C C c

Question 5:
elephant => Q K Q",".............
=>.............
=> I
=> I
=> I
=> I
=> I
=>","******

Question 2:
=> C K E
=> C E K
=> ******

Question 3","..........
=>...........

Question 2:
=> J K K
=> C K C
=>","..............

Question 2:
=> C K E
=> E % K % C
=>........",".......
=>.........
=>........
=>........
=>........
=> E K C

","~~~~

Question 3:
=> K E K
=> K % E %
=> E K
=> ","
=> C
=> 
=> 
=> 
=> 
=> 
=> 
=> ","
=>

Question 3:
=> D C D
=> D C
=> D
=> C
=>","
=> C C

Question 3:
=> C F F
=> t c f
=> C F
",", c c

Question 3:
=> E E E
=> e e e
=> E E
=>","
=> } $ {
=> }

Question 4:
=> I ^ J
=> I ^
=>","
=> }
=> ^ *
=> } ^
=> ^ *
=> } *
=> ^ ^
","####
=> *

Question 4:
=> K K K
=> K % K % K
=> K","
=>
=>

Question 4:
=> C A D
=> C D A
=> C D
","
=> } / {
=> /
=> }
=> } ]^ {
=> ]^
=> }","###

Question 5:
=> X E Q
=> E X Q Q
=> X E
=> E","
=> 
=> 
=> 
=> 
=> 
=> 
=> 
=> ","~~~

Question 5:
=> Q Q Q Z Z Z Z I I Z Z Z Z Z Z Z","
=> Q Q I
=> Q I
=> I

Question 5:
=>
=>
=>
","ƒ Z I Q Q Z I Z I Q Z

Question 5:
=> A-Z
=>","
=> }
=> } ^ {
=> }
=> }
=> } ^ {
=> }
=>","
=> *
=> } * {
=> ^
=> } ^ {
=> 
=> ^
=>","
=> * {
=> 
=> } }

Question 2:
=> } * {
=> *","
=> *
=> } -> {
=> ->
=> }
=> ^
=> ^
=> ^
","]^
=> }
=> } * {
=> ^ * {
=> }
=> }
=> } *","〈〉

Question 3:
=> Q Z E
=> Q Q Z E E
=> Q","
=> Q Z I Q Z I
=> 
=> J
=> Q Z I J
=> Q Z","
=> 
=> 
=> 
=> 
=> 
=> 
=> 
=> ","
=>

Question 3:
=> 2 3 2
=> 3 3 2 2
=> 2 3 2 3","
=> 
=> 
=> T O P
=> 
=> 
=> T O S
=>","
=> 
=> 
=> 
=> 
=> 
=> 
=> 
=> ","
=>

Question 4:
=> B T D
=> B E T D
=> B D E T","
=> C % K % E
=> K C E C % % C E

Question 4:
=>","
=> 
=> 
=> 
=> 
=> 
=> 
=> 
=> ","
=>

Question 4:
=> Z A T
=> Z E N T
=> Z T E
","~~~
=> ~~~
=> ~~~
=> ~~~
=> ~~~
=> ~~~
=> ","
=> C
=> 
=> C

Question 5:
=> C C C
=> c c c","
=> C

Question 5:
=> R Y S
=> R Y S R
=> R S Y","
=> C C

Question 5:
=> C C C
=> c c c
=> C C
","
=> C C

Question 5:
=> A A A A A A A A A A A A A",".......

Question 2:
=> E % K % C % D
=> A % B % C % D",".......

Question 2:
=> X K X
=> X % X %
=> X C X
=>",".......

Question 2:
=> C A K
=> C % A % K
=> A C % K","
Question 2:
=> E K C
=> E C % K
=> C % K E
=> C","
=> S S % K
=> S % K S
=> K S % S
=> K S S
","
=> 
=> I Q Q Z I
=> Q Z I
=> Q Q Z

Question 3","
=> T R K
=> T R K T R K T R K T R K
=> T R K","
=> Q I Z Q
=> Q I Z Q I
=> Q % I Z % Q I
=>","
=> I Z Z I
=>

Question 3:
=> U P O
=> U P O O","..........

Question 3:
=> O B O
=> O B O O B O
=> O B","
=> 
=> 
=> 
=> 
=> 
=> C C
=> c c
","
=> C C
=> C C

A:

Answer to questions 1 and 2:

 The answer",".......
=> C

Question 4:
=> L L L
=> L L
=> L L
=>","######

Question 4:
=> K K K
=> K % K %
=> K % K %
","ɼɼɼ
=> C
=> c
=> ɼɼɼ
=> ","
=> }
=> } ^ * {
=> 
=> }

Question 5:
=> A B","
=> } ^ {

Question 5:
=> { f }
=> { f }
=> f
","
=> *
=> }
=> } * {
=>
=> *
=> } }
=> } *","
=> }

Question 5:
=> X X
=> X
=> X
=> X
=> X","
=> } ^ *
=> { } ^ *
=> ^ { } ^
=> ^ { } *
","................

Question 2:
=> E C K
=> E % C % K
=> E %","
=> E K E
=> E E K
=> C K E
=> 
=> E E K
","
=> K S E
=> K % S % E
=> E % S % K
=> E % S","................
Question 2:
=> % K % C % E
=> C % K E %
=>","0001101 C 1001111
Question 2:
=> E K C
=> E % K % C
=> C","
=> C

Question 3:
=> J J J
=> J K J
=> J K
=>","..........................

Question 3:
=> C K C
=> C % K % C
=> C K","
=> C c
=> c
=>

Question 3:
=> A A
=> A L
=>","
=> 
=> 
=> 
=> 
=> 
=> 
=> 
=> ","
=> C
=>
=>
=>
=>

Question 3:
=> E K E
=> E","
=> Q Q Z Q Z Z I
=> Q

Question 4:
=> Q Q Q Q Q","˙ Q Q Z I
=> ˙ Q Q Z I ˙ I
=> Q Z I","Q Z I
=> Q Z I

Question 4:
=> C C Z
=> C C Q Z",".........

Question 4:
=> C E C E C E E C E
=> C E C E","~~~

Question 4:
=> D O P
=> D O Q D O P Q
=> D O","
=> * {
=>
=> *

Question 5:
=> 1 + 2 * 3
=> 1","
=> } ^ ^ ^
=> } * * * * *
=> } {
=> {
=> }","
=> }
=> }
=> *

Question 5:
=> 0 X
=> 0 X 0
","
=> } ^ {
=> ^
=> } * {
=> 
=> } * {
=> ","
=> *
=> } * {
=> *
=> } ^ {
=> ^
=> } * {","
broom =>

Question 2:
coffee => E K C
bicycle => E % K","
Question 2:
square =>
rectangle =>
circle =>
Question 3:
square => B L E","
dumb => 
apple => 
pen => 
question => 
circle => 
question =>","............

Question 2:
square => E K C
rectangle => E % K % C
circle","
lime =>

Question 2:
square => E C E
rectangle => E % C % E","
woman => 
child => C

Question 3:
tuna => E C E
mouse => %","...........

Question 3:
man => C C
woman => C
child => C

Question 4","
lion => C C

Question 3:

The first one is a bird, the other two are trees","
woman => K K

Question 3:
red => E C E
yellow => E E E
blue","
house => C

Question 3:
tree => E c E
house => C % C

Question","
chair => *

Question 4:
man => C C C
woman => c c c
bird =>","
house =>

Question 4:
1 4 => 2 3 X 2 3 X 2 3
2 3 =>","
pencil => 
book => 
bookcase =>

Question 4:
tree => } > {","
house =>

Question 4:
a => A A
b => B B
c => C C
","
window => 
car => 
train => 

Question 4:
1=>2 2=>1 3","
chair =>

Question 5:
house => C C C C C C C C C C C C C","ϭ
moon => ϭ I

Question 5:
boy => % % % % % %","
lamp => 

Question 5:
sick => C F D
okay => C F C
","
dirt =>

Question 5:
tree => d r
mountain => d v

Question 6","
couch => 
window => 
airplane => 
car => 
train => 
b","
ball => } } * {

Question 2:
king => } ^ {
queen => ^
","]^

Question 2:
1 2 3 => -> {
2 3 1 => ^

Question 3:","
man => *

Question 2:
king => } ^ {
queen => ^
man => }","].

Question 2:
{king => } * {
{queen => } * {
{man","
Question 2:
car => ^
truck => } ^
Question 3:
dog => } * {","
bottle =>

Question 3:
cat => I
dog =>

Question 4:
c","
window =>
chair => ^

Question 3:

Question 4:

Question 5:

","
hat => 
moon => 
earth => *

Question 3:

A
1
","
pencil => {

Question 3:

bush => } ^ {

Question 4:
","
drawing => 
picture => 
dog => 
man => 
pillow => 
","
strawberry => 
tomato =>

Question 4:
moon => 
sun => ","ƒ K E ƒ C

Question 4:
tree => T K Y
cactus =>","
orange => 
wheat => 
tall => 
short => 
taller => ","
paint => 
pencil => 
orange => 
apple => 
banana => 
","
door => E C K E

Question 4:
pencil => Q Z Z I Q Z Z I","
tree => 
tree => 
tree => 
tree => 
tree => 
tree => ","
frog => 
rabbit => 
horse =>

Question 5:
pencil => E E E","ict

Question 5:

Question 6:

Question 7:

Question 8:

Question","

Question 5:
square => C C C
circle => C C
triangle => C

Question 6","
moon => C C C C C

Question 5:
red => I
green => I I
","ᐊ C % K ᐊ E
question => ᐊ C % K �","ƒ K E C

Answer:

Question 2:

What is the third word in the first"," E E C
car => C K E

Question 2:
dog => E % K %","
dog => D E C
lamp => 
car => 
Question 2:

The following figures","
chair => % E % K

Question 2:
B = 1
B = 2
C = B","
pineapple => I I I Z Z Z Z Z Z Z Z Z I I

Question 3:
","ᚼ Q Z I I Z I

Question 3:
triangle => T T Z Z Z
oct","
pineapple => 
cucumber => 
banana => 
orange => 
grapefruit","
coconut => 
mint => 
pistachio => 
pineapple => 
","
circle => Q Z Z I I Q

Question 3:
brick => C K % C
c","
chair => 
hat => 
door => 
book => 
cat => 
mouse => ","
bacon => 
car => 
dog => 
cat => 
horse => 
tooth","
sun => S S S

Question 4:
A => A
B => B
C => C
","
dough => 
pearl => 
chocolate => 
lollipop => 
cup","
pencil => 
book => 
pen => 
computer => 
computer => 
computer =>","
window => *

Question 5:
red => E E
green => E
blue => E

","
car => } {

Question 5:
tortoise => {
turtle => {

Question","
lamp =>

Question 5:
blue => E E E
yellow => E E
green => E","
window =>

Question 5:
green => R G C
orange => R O R

Question 6","
window => } _ {

Question 5:
bottle => B C
sink => B
","
dog => 
chair => 
window => 
question => 
pencil => 
table =>","ˈdøər
pencil => ˈpelən

Question 2:
dog =>","
key =>
hand =>

Question 2:
door => O
key => K
hand => H
","
chair => 
coffee => 
snow => 
pencil => 
table => 
","
Question 2:
red => C K E
green => C K E
blue => C K E
Question","ƒ C

Question 3:
red => K E K
green => K E R
yellow => K","
cow => C C C

Question 3:
A => E E E
B => K K K","ƒ C

Question 3:
red => D
red => D
blue => D
blue => D","
orange => C C %

Question 3:
chair => K K K
table => K K C
","ɣ

Question 3:
cat => C

Question 4:
dog =>

Question 5:","
woman => Z I Q Z Z I Q Z I I

Question 4:
pencil => C X","
dress => Z I

Question 4:
tree => F F
table => F T
chair =>","
pig => 
horse => 
lion => 
snake => 
horse => 
mouse","
blanket => 
chimney => 
hat => 
suit => 
hair => 
","
table => 
chair => 
house => 
window => 
door => 

Question 4:","
house => } } ^ {
rock => } ^ {

Question 5:
the => ] ^]","
cross => } + {

Question 5:
circle => } + {
cross => } * {
","
house => 
car => 
dog =>
housefly =>

Question 5:
chair =>
","
car => } * ^

Question 5:
pencil => C C
rubber => c c
","
triangle => 
star =>

Question 5:
1. => {
2. =>
3."
